Dates,Prices,Prices,Prices,Prices,Prices,Prices,Prices,Prices,Prices,Prices,Prices,Prices,Prices,Prices,Prices,Prices,Prices,Prices,Prices,Prices,Prices,Prices,Prices,Prices,Prices,Prices,Prices,Prices,Prices,Prices,Prices,Prices,Prices,Prices,Prices,Prices,Prices
,PSMGN,LRE,BCOM,GSZ.PA,SDFGn.DE,NPOS.PA,ORAN,EDP.LS,PDLI ,CLLN.L,CNPP.PA,HFC.N,RWEG.DE,CTL.N,AZN.L,BOUY.PA,CWC.L,ENI.MI,VIV.PA,BALF.L,UU.L,PFG.L,TOTF.PA,RDSa.AS,LAGA.PA,FTSE,S&P 500,MSCI,CAC,DAX,Oil,USA-10 year Treasury Bond,UK Gilt,EUR/USD,DTWEXM,CBOE volatility,FVX
26-Aug-09,9.9167,5.05,37.9925,41.6756,51.8015,80.0335,26.3874,4.2345,9.14,5,24.5743,11.358484,87.239,32.48,46.17,47.0186,58.9087,23.6518,26.9564,4.85,7.49,10.4,57.035,27.5842,22.3986,"3,878.86",951.13,8783.21,3668.34,"7,476.82",71.43,3.4,3.799,1.4635,75.7141,24.4,2.447
27-Aug-09,9.9016,5.03,38.3506,42.8207,49.3427,80.1253,26.4903,4.3022,9.06,4.81,24.2373,11.166206,88.7771,32.38,46.67,46.1427,58.3133,23.5054,27.08,4.81,7.58,10.4,57.6873,27.6598,22.6109,"3,881.56",954.58,8701.33,3648.53,"7,597.62",72.49,3.4,3.799,1.453,75.4703,23.87,2.485
28-Aug-09,9.8356,5.02,38.1987,42.3016,49.1023,81.4022,25.7327,4.2745,9.05,4.81,24.6426,10.711304,88.3741,32.4,46.2,50.1716,58.9087,23.5597,27.3583,4.77,7.37,10.53,57.6269,27.8199,24.2455,"3,985.18",954.07,8817.51,3693.14,"7,715.98",72.74,3.4,3.799,1.4569,75.0157,23.47,2.457
1-Sep-09,9.2424,4.94,37.3607,41.0434,47.2747,80.3616,24.8692,4.2401,8.81,4.64,23.9912,10.261092,84.9678,31.78,46.14,47.5344,58.5911,23.1345,27.6447,4.71,7.25,10.49,55.8099,27.2367,22.9668,"4,142.82",979.26,8619.68,3583.44,"7,322.81",68.05,3.43,3.545,1.4717,75.6614,23.09,2.328
2-Sep-09,9.0422,4.97,37.6448,41.7309,47.5934,79.6902,25.0513,4.1988,8.89,4.69,23.6679,10.411162,84.6828,31.87,46.03,47.0791,56.646,23.4897,27.535,4.72,7.38,10.5,56.8772,27.7825,22.9886,"4,138.93",982.18,8519.93,3573.13,"7,419.86",68.05,3.43,3.545,1.4685,75.556,24.28,2.26
3-Sep-09,9.6913,4.92,37.2189,41.3947,48.208,79.6897,25.1404,4.2285,9.06,4.77,23.6083,10.60813,83.9454,31.01,45.32,47.637,55.4552,23.5014,27.4189,4.73,7.37,10.28,56.2594,27.549,23.2778,"4,133.51",979.62,8604.8,3553.51,"7,447.23",67.96,3.43,3.545,1.4789,75.3915,25.01,2.28
4-Sep-09,10.2602,4.99,37.547,42.5056,49.4477,80.4805,25.5005,4.277,8.81,4.87,24.0858,10.814478,84.9164,31.18,45.21,48.1573,55.4552,23.75,27.6028,4.81,7.47,10.42,57.4601,27.7012,23.929,"4,123.32",975.15,8745.85,3598.76,"7,567.23",68.02,3.43,3.545,1.4727,75.1119,25.61,2.355
8-Sep-09,11.5277,5.1,38.8626,43.0189,51.5264,83.919,26.7049,4.3881,8.98,4.97,24.3516,10.687856,85.8513,31.54,45.42,48.5583,58.2339,24.5036,28.0508,5,7.51,10.74,59.1085,28.5296,24.6982,"4,078.13",987.48,9035.33,3660.96,"7,893.25",71.1,3.43,3.545,1.4856,74.1898,25.92,2.372
9-Sep-09,11.1813,5.17,38.9381,44.4341,51.3999,85.3845,26.8323,4.4041,8.9,4.91,24.3135,10.683166,86.9161,31.37,45.08,49.9083,60.179,25.0997,27.5236,5.13,7.68,10.6,60.7038,29.1326,25.2674,"4,033.02","1,002.63",9137.05,3707.69,"7,943.81",71.31,3.43,3.545,1.4924,73.9958,25.56,2.375
